Werner transitions for Para H2 X(0,0) -> C(v, 1) e->e						
Final v	A_ul (inv sec)	Wavenumber (inv cm)	Energy (eV)	f_lu	f_diss	f_total
0	9.60E+07	99151.62	12.293	4.39E-02	1.35E-04	5.94E-06
1	1.60E+08	101457.3	12.579	6.99E-02	3.89E-04	2.72E-05
2	1.60E+08	103628.99	12.848	6.70E-02	1.60E-03	1.07E-04
3	1.50E+08	105660.98	13.100	6.04E-02	1.40E-01	8.43E-03
4	8.80E+07	107581.03	13.338	3.42E-02	2.87E-03	9.82E-05
5	6.40E+07	109361.86	13.559	2.41E-02	1.33E-03	3.21E-05
