Werner transitions for Ortho X(0,1) -> C(v,2) e->e						
Final v	A_ul (inv sec)	Wavenumber (inv cm)	Energy (eV)	f_lu	f_diss	f_total
0	8.10E+07	99157.46	12.294	2.06E-02	3.68E-04	7.57E-06
1	1.40E+08	101457.3	12.579	3.40E-02	1.28E-03	4.34E-05
2	1.50E+08	103620.31	12.847	3.49E-02	8.20E-03	2.86E-04
3	5.70E+07	105665.31	13.100	1.28E-02	5.74E-02	7.31E-04
4	7.30E+07	107563	13.336	1.58E-02	5.28E-03	8.33E-05
5	5.50E+07	109336.76	13.556	1.15E-02	3.71E-03	4.27E-05
