Werner Transitions for Ortho H2 X(0,1) -> C(v,1) e->f						
Final v	A_ul (inv sec)	Wavenumber (inv cm)	Energy (eV)	f_lu	f_diss	f_total
0	1.60E+08	99032.36	12.278	2.45E-02	1.22E-09	2.98E-11
1	2.50E+08	101337.86	12.564	3.65E-02	2.20E-10	8.02E-12
2	2.50E+08	103509.63	12.833	3.50E-02	3.21E-10	1.12E-11
3	2.00E+08	105549.61	13.086	2.69E-02	1.84E-08	4.95E-10
4	1.50E+08	107460.05	13.323	1.95E-02	2.28E-06	4.43E-08
5	1.00E+08	109241.55	13.544	1.26E-02	8.58E-06	1.08E-07
